Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/10  04:00:00,109.60083479,30.8821853873,11.7442687915,0.537194439964,12.7620426787,28.1191506574,179.31436114,60.5627570659,3.33212,115.419484074
 01/10  05:00:00,118.046817819,30.8821853873,12.923732915,0.592968707753,12.7620426787,28.1191506574,216.502988222,59.5130734789,3.33212,153.657794743
 01/10  06:00:00,153.711755792,30.8821853873,20.9538723609,0.586667821157,25.5240853573,30.610668775,326.821515932,59.1092693277,8.3303,259.381946604
 01/10  07:00:00,279.712222164,30.8821853873,49.1500638627,0.48528387831,51.0481707146,78.1489452969,529.994633879,57.0621039432,16.6606,456.271929936
 01/10  08:00:00,354.995504933,35.6034260811,74.6658156764,0.0,64.3609230253,109.708623606,957.621762523,329.57787352,24.9909,603.052989003
 01/10  09:00:00,297.116517356,35.6090847417,62.4157321321,0.0289375381956,51.0481707146,80.7689615957,867.014522997,376.666384602,33.3212,457.026938395
 01/10  10:00:00,272.696545477,35.6138373997,66.7299306997,0.27627518872,51.0481707146,71.0224615957,766.817865043,349.838407312,66.8089,350.170557731
 01/10  11:00:00,223.850298924,35.6689003022,66.3432358753,0.513613215921,32.1804615127,65.7244621605,698.666495938,337.034578548,83.4695,278.16241739
 01/10  12:00:00,226.81233539,35.7232929695,69.0859622308,0.0,32.1804615127,65.7244621605,606.168988124,323.514565236,83.4695,199.184922888
 01/10  13:00:00,225.118480169,35.7729434397,68.1288306065,0.0,32.1804615127,65.7244621605,603.389190485,315.905494461,83.4695,204.014196024
 01/10  14:00:00,217.508504371,35.8037542239,70.2072471578,0.0,32.1804615127,55.9779621605,586.732894422,314.067469721,75.1392,197.526224701
 01/10  15:00:00,209.76803728,35.8198946998,62.4749295484,0.0,32.1804615127,55.9779621605,586.688105213,317.796184487,66.8089,202.083020727
 01/10  16:00:00,196.734477432,35.8345105617,49.4811472459,0.0,32.1804615127,55.9779621605,595.46852159,320.996501564,75.1392,199.332820026
 01/10  17:00:00,223.27531783,35.6600282895,35.6464431682,0.169697822408,32.1804615127,60.9114621605,560.968800903,315.049706043,91.7998,154.11929486
 01/10  18:00:00,270.803517407,35.624770846,41.9894367055,0.692579252297,32.1804615127,77.5397301883,613.578731181,335.452404513,49.9818,228.144526669
 01/10  19:00:00,342.150903592,35.6286923721,59.2522564479,0.745504670799,77.122965704,86.2600435998,820.169375213,349.65249042,49.9818,420.535084793
 01/10  20:00:00,347.604508577,35.6123526801,57.9376258771,0.371153922507,102.647051061,80.1663183927,693.912219193,349.849110154,33.3212,310.741909038
 01/10  21:00:00,378.014499798,35.6221564953,62.869796056,0.45185950806,115.40909374,92.7192997104,707.21864625,367.554386137,33.3212,306.343060113
 01/10  22:00:00,366.572235262,35.6286923721,74.8795919818,0.443828835875,102.647051061,94.1340635361,864.506834199,387.880480714,24.9909,451.635453484
 01/10  23:00:00,279.261556827,35.6025488649,54.2411182916,0.0,77.122965704,65.871452062,777.311622718,413.922822325,16.6606,346.728200393
 01/10  24:00:00,186.836282163,35.6025488649,29.8256553627,0.0,38.286128036,48.4199368926,638.495014357,441.873117143,8.3303,188.291597214
 01/11  01:00:00,133.415635053,30.8821853873,19.9976491781,0.880999161048,25.5240853573,30.610668775,250.712261527,93.7020771961,3.33212,153.67806433
 01/11  02:00:00,119.209941296,30.8821853873,13.0472145703,0.949078504768,19.418418834,29.3649097162,197.362222746,78.6375794322,3.33212,115.392523314
 01/11  03:00:00,109.35634679,30.8821853873,10.9546515149,1.08657748706,12.7620426787,28.1191506574,184.021269034,71.6770912369,3.33212,109.012057797
 01/11  04:00:00,108.535150867,30.8821853873,9.99311288495,1.23316875036,12.7620426787,28.1191506574,187.561804921,68.7652230037,3.33212,115.464461918
 01/11  05:00:00,115.642172298,30.8821853873,10.3831755122,1.37514195426,12.7620426787,28.1191506574,225.083671576,68.0470322912,3.33212,153.704519284
 01/11  06:00:00,149.790074801,30.8821853873,16.8744434887,1.41804591013,25.5240853573,30.610668775,342.741375872,67.7574043213,8.3303,266.65367155
 01/11  07:00:00,276.041813415,30.8821853873,45.3465362724,1.35427881508,51.0481707146,78.1489452969,533.156944908,65.3827259998,16.6606,451.113618908
 01/11  08:00:00,349.75939136,35.6221564953,70.2386145173,0.0,64.3609230253,109.708623606,1025.52132864,400.23467459,24.9909,600.295754048
 01/11  09:00:00,287.048356335,35.6025488649,53.0028606244,0.0,51.0481707146,80.7689615957,956.543014058,455.955186633,33.3212,467.266627425
 01/11  10:00:00,256.105164402,35.6123526801,50.3380195066,0.0,51.0481707146,71.0224615957,837.144375797,420.75855475,66.8089,349.576921047
 01/11  11:00:00,197.365268655,35.6058168033,40.3893479087,0.0,32.1804615127,65.7244621605,762.534804789,407.675246694,83.4695,271.390058095
 01/11  12:00:00,186.10179221,35.6090847417,28.4737952755,0.0,32.1804615127,65.7244621605,694.091530127,405.2134007,83.4695,205.408629426
 01/11  13:00:00,179.051459232,35.6308984842,22.2042694908,0.0,32.1804615127,65.7244621605,687.203009853,402.058574306,83.4695,201.674935547
