Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/03  04:00:00,179.912409559,32.9641256955,72.6012488635,0.0,12.7620426787,28.1191506574,97.8635277331,0.169320093158,3.33212,94.36208764
 06/03  05:00:00,191.958216432,33.2229823057,77.5945271343,0.0,12.7620426787,28.1191506574,128.175449034,0.217924781913,8.3303,119.627224252
 06/03  06:00:00,265.830578225,33.4300675939,81.3652851911,0.0,42.6918050922,54.3732441037,183.432364247,0.337232812282,16.6606,166.434531435
 06/03  07:00:00,347.410182817,35.5146230841,115.435891033,0.0,42.6918050922,86.1019271793,330.725171092,15.8704622786,24.9909,289.863808814
 06/03  08:00:00,385.763274469,35.4662213257,112.350286793,0.0,57.6566862989,112.030105488,447.190305559,6.39575570233,33.3212,407.473349857
 06/03  09:00:00,339.721430721,35.863502688,112.582015153,0.0,57.6566862989,83.6599452969,362.900217648,0.0,66.8089,296.091317648
 06/03  10:00:00,286.76070515,35.9999837857,113.538546348,0.0,42.6918050922,68.9656133826,312.393438299,3.69950636356,83.4695,225.224431935
 06/03  11:00:00,278.750559396,36.1135115751,113.219247727,0.0,34.9340096728,67.7198543238,268.740004714,6.03595732094,83.4695,179.234547393
 06/03  12:00:00,278.698288666,36.1744785957,113.684692795,0.0,34.9340096728,67.7198543238,220.697160675,6.19965815058,83.4695,131.028002525
 06/03  13:00:00,268.683847177,36.0961840774,113.451718197,0.0,34.9340096728,57.9733543238,218.642693503,6.072227097,75.1392,137.431266406
 06/03  14:00:00,268.936386077,36.1079236821,113.687077857,0.0,34.9340096728,57.9733543238,203.496814619,5.95180731837,66.8089,130.7361073
 06/03  15:00:00,268.403361111,36.136519077,113.13601146,0.0,34.9340096728,57.9733543238,211.691371269,5.82685661064,75.1392,130.725314658
 06/03  16:00:00,297.1671767,35.9988438824,112.783943807,0.0,34.9340096728,62.9068543238,198.506765296,5.76956842965,91.7998,100.937396867
 06/03  17:00:00,324.682729798,35.6793968772,112.93523322,0.0,34.9340096728,72.2186844194,184.635015602,11.6971882219,49.9818,122.95602738
 06/03  18:00:00,390.421972927,35.9077654284,112.163407239,0.0,87.0357390804,86.2600435998,206.475759627,10.0496572617,49.9818,146.444302366
 06/03  19:00:00,387.312045198,35.6875848141,112.210421101,0.0,102.000620287,77.6748002752,239.860431237,10.2559587599,33.3212,196.283272477
 06/03  20:00:00,412.115559241,35.6016585344,112.669300432,0.0,102.000620287,88.9820225341,237.203235384,10.8876735935,33.3212,192.99436179
 06/03  21:00:00,404.440477541,35.6388103192,115.739960692,0.0,102.000620287,91.6425454185,228.788931964,11.4613115123,24.9909,192.336720451
 06/03  22:00:00,352.150481786,35.5569770381,117.228728078,0.0,87.0357390804,65.871452062,317.57200931,15.8691151286,16.6606,285.042294181
 06/03  23:00:00,278.283817201,35.4739560252,116.504066344,0.0,42.6918050922,48.4199368926,195.642476085,20.8332238767,8.3303,166.478952208
 06/03  24:00:00,192.970404242,32.9641256955,74.6227651336,0.0,27.7269238854,30.610668775,97.7337917848,0.0445562686973,3.33212,94.3571155162
 06/04  01:00:00,195.251489059,32.1875558648,68.8838346963,0.0,34.4311606118,33.1021868926,77.1769020503,0.107552381243,3.33212,73.7372296691
 06/04  02:00:00,156.917340006,31.4109860341,49.4410918131,0.0,19.466279405,30.610668775,77.0633182108,0.0,3.33212,73.7311982108
 06/04  03:00:00,191.342095047,32.9641256955,81.1599460077,0.0,19.466279405,30.610668775,77.2640543703,0.207433144198,3.33212,73.7245012261
 06/04  04:00:00,149.374762658,30.6344162035,36.592089777,0.0,19.466279405,30.610668775,97.6669114832,0.0,3.33212,94.3347914832
 06/04  05:00:00,194.491957921,32.9641256955,71.0389411304,0.0,19.466279405,30.610668775,131.216362257,0.204373590401,8.3303,122.681688667
 06/04  06:00:00,283.526755165,34.3619513907,97.3509725594,0.0,42.6918050922,54.3732441037,187.47934312,0.324259680397,16.6606,170.494483439
 06/04  07:00:00,355.075201093,35.7523876925,113.32116855,0.0,49.3960418185,88.5934452969,322.66908322,15.781856461,24.9909,281.896326759
 06/04  08:00:00,383.995113919,35.5135347787,110.148509266,0.0,57.6566862989,112.030105488,450.048566366,6.3875946749,33.3212,410.339771691
 06/04  09:00:00,328.566121106,35.9214688066,110.198575041,0.0,50.9524495726,81.1684271793,360.459053385,0.0,66.8089,293.650153385
 06/04  10:00:00,285.718685604,36.2193294437,112.056433626,0.0,42.6918050922,68.9656133826,311.120057975,2.24976735279,83.4695,225.400790622
 06/04  11:00:00,282.467271733,36.1446241304,112.574215482,0.0,38.286128036,68.9656133826,267.425978101,3.26469536495,83.4695,180.691782736
 06/04  12:00:00,282.33630027,36.2005796541,112.788559529,0.0,38.286128036,68.9656133826,222.627987608,3.31527458065,83.4695,135.843213027
 06/04  13:00:00,263.457092366,36.0893108689,112.867411221,0.0,31.5818913096,56.727595265,211.999954152,6.13937313434,75.1392,130.721381017
 06/04  14:00:00,262.927277034,36.1110790348,112.309979152,0.0,31.5818913096,56.727595265,203.878528161,6.6510062985,66.8089,130.418621862
 06/04  15:00:00,262.555057114,36.1382804212,111.92377658,0.0,31.5818913096,56.727595265,212.479538544,6.91134285888,75.1392,130.428995685
 06/04  16:00:00,290.932609629,35.9637710915,111.216908651,0.0,31.5818913096,61.661095265,193.049275113,6.73606506105,91.7998,94.5134100524
 06/04  17:00:00,318.393298624,35.4989403314,111.462040448,0.0,31.5818913096,70.9729253606,186.348522134,13.4429190583,49.9818,122.923803076
 06/04  18:00:00,380.57320778,35.5761204454,112.036581703,0.0,80.3315023541,83.7685254822,208.472033346,11.922170318,49.9818,146.568063028
 06/04  19:00:00,386.956378143,35.5853116593,112.087783089,0.0,102.000620287,77.6748002752,239.617637142,10.6379830837,33.3212,195.658454059
 06/04  20:00:00,420.738222807,35.5506872886,111.710373882,0.0,108.704857014,91.4735406516,234.860147148,11.2719935676,33.3212,190.26695358
 06/04  21:00:00,392.301769702,35.6874906942,111.470608548,0.0,95.2963835608,89.1510273009,231.394506344,12.1345275786,24.9909,194.269078766
 06/04  22:00:00,340.15579732,35.6227360076,112.859468248,0.0,80.3315023541,63.3799339444,315.203437014,17.3736424592,16.6606,281.169194554
 06/04  23:00:00,279.319151513,35.5675504607,117.149194411,0.0,42.6918050922,48.4199368926,198.876642468,21.2148313908,8.3303,169.331511077
 06/04  24:00:00,199.823979234,32.5758407801,73.0408821747,0.0,34.4311606118,33.1021868926,97.8928244177,0.107869606515,3.33212,94.4528348112
 06/05  01:00:00,186.061740171,32.9641256955,77.4033278751,0.0,19.418418834,29.3649097162,77.0582624206,0.0793177881108,3.33212,73.6468246324
 06/05  02:00:00,177.728895951,32.9641256955,76.9373264758,0.0,12.7620426787,28.1191506574,70.9647421111,0.125325572751,3.33212,67.5072965384
 06/05  03:00:00,174.715502087,32.9641256955,73.920356549,0.0,12.7620426787,28.1191506574,77.1445047475,0.163405426185,3.33212,73.6489793213
 06/05  04:00:00,169.911394109,32.446412475,63.3706956534,0.0,12.7620426787,28.1191506574,97.8882378833,0.219999591329,3.33212,94.3361182919
 06/05  05:00:00,203.147542929,32.9641256955,73.6905772457,0.0,25.5240853573,30.610668775,178.338820485,0.541058274812,8.3303,169.46746221
 06/05  06:00:00,320.06512996,34.5172653568,101.17600348,0.0,51.0481707146,78.1489452969,298.656942643,0.26817603383,16.6606,281.72816661
 06/05  07:00:00,389.614694332,35.4381604404,112.203824377,0.0,64.3609230253,109.708623606,420.230837848,17.029667432,24.9909,378.210270415
 06/05  08:00:00,348.714333259,35.3820215591,113.911622524,0.0,51.0481707146,80.7689615957,338.049965443,6.97010266019,33.3212,297.758662783
 06/05  09:00:00,321.52710192,35.8611790175,114.128487531,0.0,51.0481707146,71.0224615957,289.600652896,0.017366433012,66.8089,222.774386463
 06/05  10:00:00,274.311082197,35.9712113881,114.906827179,0.0,32.1804615127,65.7244621605,262.171035279,4.66064982908,83.4695,174.04088545
 06/05  11:00:00,275.775988986,36.0716047776,115.3279261,0.0,32.1804615127,65.7244621605,227.104868582,6.24209741936,83.4695,137.393271163
 06/05  12:00:00,275.104145132,36.1232414635,115.15622104,0.0,32.1804615127,65.7244621605,220.572529899,6.4143336228,83.4695,130.688696276
 06/05  13:00:00,266.174134999,36.0778939407,115.754713459,0.0,32.1804615127,55.9779621605,211.942685715,6.26185892781,75.1392,130.541626787
 06/05  14:00:00,267.210772752,36.1078010991,116.809722371,0.0,32.1804615127,55.9779621605,203.497762939,6.29107248801,66.8089,130.397790451
 06/05  15:00:00,267.066040554,36.1373450345,116.886649155,0.0,32.1804615127,55.9779621605,211.586325204,6.04865597693,75.1392,130.398469227
