Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 04/16  21:00:00,421.409114662,36.0010765892,141.248757293,0.0,95.2963835608,89.1510273009,295.382991846,5.67007145898,24.9909,264.722020387
 04/16  22:00:00,368.486933631,35.9697866335,141.856960772,0.0,80.3315023541,63.3799339444,400.353054569,8.48901944466,16.6606,375.203435125
 04/16  23:00:00,300.417726198,35.9170365176,138.605778868,0.0,42.6918050922,48.4199368926,248.914098899,16.4261931633,8.3303,224.157605736
 04/16  24:00:00,201.9046715,32.9675931423,74.1339308135,0.0,34.4311606118,33.1021868926,148.637199696,14.8911588593,3.33212,130.413920837
 04/17  01:00:00,142.766882345,30.9428230831,37.4999425108,0.0,19.418418834,29.3649097162,122.422685607,24.6924862334,3.33212,94.3980793739
 04/17  02:00:00,174.094311235,32.5626391304,73.4430118039,0.0,12.7620426787,28.1191506574,138.403216311,40.6788280933,3.33212,94.3922682175
 04/17  03:00:00,141.293448275,31.7527311068,42.4856979385,0.0,12.7620426787,28.1191506574,147.25903143,43.2545374266,3.33212,100.672374003
 04/17  04:00:00,185.090571552,33.3725471541,76.2244528284,0.0,12.7620426787,28.1191506574,166.080037057,38.3562104858,3.33212,124.391706571
 04/17  05:00:00,216.099414498,33.3725471541,79.4180962164,0.0,25.5240853573,30.610668775,269.812671739,37.9889765825,8.3303,223.493395157
 04/17  06:00:00,312.872942038,33.8584919683,88.5058764556,0.0,51.0481707146,78.1489452969,446.344024556,45.149360164,16.6606,384.534064392
 04/17  07:00:00,414.248465489,35.8173814223,136.730973807,0.0,64.3609230253,109.708623606,567.445932428,36.1182759742,24.9909,506.336756454
 04/17  08:00:00,370.493242993,35.8404207975,135.220241268,0.0,51.0481707146,80.7689615957,432.133054303,8.43994239482,33.3212,390.371911908
 04/17  09:00:00,351.094412615,36.3885511456,144.211876641,0.0,51.0481707146,71.0224615957,362.561172186,1.7511055123,66.8089,294.001166674
 04/17  10:00:00,303.095446209,36.4936138944,144.748067794,0.0,32.1804615127,65.7244621605,322.214401208,3.83423820253,83.4695,234.910663005
 04/17  11:00:00,304.128602487,36.5742344917,144.905669116,0.0,32.1804615127,65.7244621605,258.463008533,3.95230438064,83.4695,171.041204152
 04/17  12:00:00,303.373264766,36.6435187032,144.514930028,0.0,32.1804615127,65.7244621605,260.273610245,3.69331487923,83.4695,173.110795366
 04/17  13:00:00,293.555289633,36.6214929546,144.149538583,0.0,32.1804615127,55.9779621605,250.862747874,3.51560045939,75.1392,172.207947414
 04/17  14:00:00,293.949969657,36.6545170675,144.367004158,0.0,32.1804615127,55.9779621605,236.800644646,3.722144289,66.8089,166.269600357
 04/17  15:00:00,294.369094573,36.6843299435,144.549940182,0.0,32.1804615127,55.9779621605,249.180916155,3.77293525293,75.1392,170.268780903
 04/17  16:00:00,324.084724313,36.5490233489,144.873813599,0.0,32.1804615127,60.9114621605,224.446843759,2.15525847445,91.7998,130.491785285
 04/17  17:00:00,358.46658039,36.0396929207,144.730504981,0.0,32.1804615127,77.5397301883,250.57199853,4.29313680622,49.9818,196.297061724
 04/17  18:00:00,410.552488117,36.1444848329,142.796678239,0.0,77.122965704,86.2600435998,406.324553593,4.64778622285,49.9818,351.69496737
